"Base"|"Composite PRP < 500"|"Percentage"
"1"|2|"341"|"0.6%"
"2"|3|"91, 121"|"1.2%"
"3"|4|"15, 85, 91, 341, 435, 451"|"3.8%"
"4"|5|"217"|"0.6%"
"5"|6|"35, 185, 217, 301, 481"|"3.2%"
"6"|7|"25, 325"|"1.2%"
"7"|8|"9, 21, 45, 63, 65, 105, 117,133, 153, 231, 273, 341, 481"|"8.3%"
"8"|9|"91, 121, 205"|"1.9%"
"9"|10|"9, 33, 91, 99, 259, 451,481"|"4.4 %"
"10"|11|"15, 133, 259, 305,481"|"3.2%"
"11"|12|"65, 91, 133, 143, 145, 247, 377, 385"|"5.1%"
"12"|13|"21, 85, 105, 231, 357,427"|"3.8%"
"13"|14|"15, 39, 65, 195,481"|"3.2%"
"14"|15|"341"|"0.6%"
"15"|16|"15, 51, 85, 91, 255, 341,435, 451"|"5.1%"
"16"|17|"9, 45, 91, 145, 261"|"3.2%"
"17"|18|"25, 49, 65, 85, 133, 221, 323, 325, 343, 425, 451"|"7.0%"
"18"|19|"9, 15, 45, 49, 153, 169,343"|"4.4%"
"19"|20|"21, 57, 133, 231,399"|"3.2%"
